Title,Category,Author(s),Status,Wiki Page,Scan Depth,In-Wiki Citations,Year,Tier,Format,URL
A Brief History of Doom: Two Hundred Years of Financial Crises,Modern Book,Richard Vague,Not scanned,,—,0,2019,important,Book,https://www.pennpress.org/9780812251777/a-brief-history-of-doom/
'A Certain Rude Honesty': John Bates Clark as a Pioneering Neoclassical Economist,Academic Paper,Thomas C. Leonard,Referenced,https://www.progress.org/wiki/blaug-henry-george-rebel/,Light,2,2003,important,Paper,https://read.dukeupress.edu/hope/article-abstract/35/3/521/12135/
A cost-benefit analysis of the Stockholm congestion charging system,Academic Paper,Jonas Eliasson,Scanned,https://www.progress.org/wiki/congestion-pricing-reduces-traffic/,Medium,1,2009,important,Paper,https://ideas.repec.org/a/eee/transa/v43y2009i4p468-480.html
A Firm-Level Perspective on the Role of Rents in the Rise in Inequality,Academic Paper,Jason Furman; Peter Orszag,Scanned,https://www.progress.org/wiki/furman-orszag-firm-rents/,Heavy,2,2015,important,Paper,https://obamawhitehouse.archives.gov/sites/default/files/page/files/20151016_firm_level_perspective_on_role_of_rents_in_inequality.pdf
A general proposition on the design of a neutral business tax,Academic Paper,Robin Boadway; Neil Bruce,Scanned,https://www.progress.org/wiki/allowance-for-corporate-equity/,Light,2,1984,important,Paper,https://www.sciencedirect.com/science/article/abs/pii/0047272784900264
A Markov Chain Monte Carlo Analysis of the Effect of Two-Rate Property Taxes on Construction,Academic/Research,Florenz Plassmann; Nicolaus Tideman,Scanned,https://www.progress.org/wiki/plassmann-tideman-construction/,Medium,10,2000,core,Paper,https://www.sciencedirect.com/science/article/abs/pii/S009411909992140X
A meta-analysis of the impact of rail projects on land and property values,Academic Paper,Mohammad; Graham; Melo; Anderson,Scanned,https://www.progress.org/wiki/mohammad-rail-meta-analysis/,Medium,1,2013,important,Paper,https://doi.org/10.1016/j.tra.2013.01.013
A Modern Analysis of the Effects of Site Value Taxation,Academic Paper,Jan K. Brueckner,Scanned,https://www.progress.org/wiki/brueckner-site-value-taxation/,Medium,1,1986,core,Paper,https://doi.org/10.1086/NTJ41792157
A Nation of Gamblers: Real Estate Speculation and American History,Academic Paper,Edward L. Glaeser,Scanned,https://www.progress.org/wiki/glaeser-real-estate-bubbles/,Medium,2,2013,important,Paper,https://doi.org/10.1257/aer.103.3.1
A Note on Piketty and Diminishing Returns to Capital,Academic/Research,Matthew Rognlie,Scanned,https://www.progress.org/wiki/rognlie-piketty-note/,Medium,0,2014,core,Paper,https://gabriel-zucman.eu/files/teaching/Rognlie14.pdf
A Perplexed Philosopher,Academic/Research,Henry George,Scanned,https://www.progress.org/wiki/a-perplexed-philosopher/,Medium,0,1892,supplementary,Paper,https://www.henrygeorge.org/
A Real-Assets Model of Economic Crises: Will China Crash in 2015?,Academic Paper,Mason Gaffney,Referenced,https://www.progress.org/wiki/18-year-land-cycle/,Light,1,2015,important,Paper,https://onlinelibrary.wiley.com/doi/10.1111/ajes.12093
A Short History of Enclosure in Britain,Academic Paper,Simon Fairlie,Scanned,https://www.progress.org/wiki/fairlie-short-history-enclosure/,Medium,1,2009,important,Article,https://www.thelandmagazine.org.uk/articles/short-history-enclosure-britain
A Tax on Land Value Is Neutral,Academic Paper,T. Nicolaus Tideman,Referenced,https://www.progress.org/wiki/bentick-mills-timing-neutrality/,Light,1,1982,important,Paper,https://cooperative-individualism.org/tideman-t-nicolaus_a-tax-on-land-value-is-neutral-1982-mar.pdf
About the fund (Government Pension Fund Global),Government/Official,Norges Bank Investment Management,Referenced,https://www.progress.org/wiki/resource-rent-capture-works/,Light,1,2024,important,Article,https://www.nbim.no/en/about-us/about-the-fund/
Advancing Land Value Taxation: Research Priorities for 2025 and Beyond,Academic/Research,Progress and Poverty Institute,Scanned,https://www.progress.org/wiki/lvt-research-priorities-2025/,Medium,0,2025,supplementary,Paper,https://progressandpovertyinstitute.org/advancing-land-value-taxation-research-priorities-for-2025-and-beyond/
Against Intellectual Monopoly,Modern Book,Michele Boldrin; David K. Levine,Scanned,https://www.progress.org/wiki/boldrin-levine-against-intellectual-monopoly/,Medium,2,2008,important,Book,http://www.dklevine.com/general/intellectual/againstfinal.htm
Agathotopia: The Economics of Partnership,Modern Book,James E. Meade,Referenced,https://www.progress.org/wiki/james-meade/,Light,1,1989,important,Book,https://ideas.repec.org/h/pal/palchp/978-1-349-13084-9_4.html
