slug,title,category,url,inbound_links,outbound_links,words,stub,orphan,last_reviewed
18-year-land-cycle,18-Year Land Cycle,concepts,https://www.progress.org/wiki/18-year-land-cycle/,91,34,1876,false,false,2026-07-04
1815-rent-theory-pamphlets,The 1815 Rent Theory Pamphlets,events,https://www.progress.org/wiki/1815-rent-theory-pamphlets/,2,6,463,true,false,2026-07-11
1886-nyc-mayoral-election,1886 New York City Mayoral Election,events,https://www.progress.org/wiki/1886-nyc-mayoral-election/,10,3,268,false,false,
1909-peoples-budget,The 1909 People's Budget (United Kingdom),events,https://www.progress.org/wiki/1909-peoples-budget/,34,11,355,false,false,
1974-uk-property-crash,1973–74 UK Property Crash and Secondary Banking Crisis,events,https://www.progress.org/wiki/1974-uk-property-crash/,1,6,864,true,false,2026-07-12
2008-financial-crisis,The 2008 Financial Crisis,events,https://www.progress.org/wiki/2008-financial-crisis/,27,10,1796,false,false,2026-07-05
a-perplexed-philosopher,A Perplexed Philosopher,research,https://www.progress.org/wiki/a-perplexed-philosopher/,8,6,220,false,false,
abolition-of-feudal-tenures-1660,Abolition of Feudal Tenures (1660),events,https://www.progress.org/wiki/abolition-of-feudal-tenures-1660/,2,6,375,true,false,2026-07-11
academic-suppression-of-georgists,Academic Purges of Georgist Economists,events,https://www.progress.org/wiki/academic-suppression-of-georgists/,1,4,598,true,false,2026-07-11
acemoglu-johnson-robinson-botswana,"An African Success Story: Botswana (Acemoglu, Johnson & Robinson)",research,https://www.progress.org/wiki/acemoglu-johnson-robinson-botswana/,6,6,742,false,false,2026-07-12
acemoglu-johnson-robinson-colonial-origins,The Colonial Origins of Comparative Development,research,https://www.progress.org/wiki/acemoglu-johnson-robinson-colonial-origins/,2,5,998,false,false,2026-07-11
adair-turner,Adair Turner,people,https://www.progress.org/wiki/adair-turner/,2,5,453,true,false,2026-07-11
adam-smith,Adam Smith,people,https://www.progress.org/wiki/adam-smith/,22,10,1448,false,false,2026-07-12
advocates-arsenal,The Advocate's Arsenal,guides,https://www.progress.org/wiki/advocates-arsenal/,2,30,713,false,false,2026-07-12
aei-land-price-indicators,AEI Land Price and Land Share Indicators (dataset),research,https://www.progress.org/wiki/aei-land-price-indicators/,3,5,648,false,false,2026-07-11
agglomeration-economies,Agglomeration Economies,concepts,https://www.progress.org/wiki/agglomeration-economies/,8,13,1623,false,false,2026-07-05
agrarian-justice,"Agrarian Justice (Thomas Paine, 1797)",texts,https://www.progress.org/wiki/agrarian-justice/,9,6,7952,false,false,2026-07-10
air-rights,Air Rights,concepts,https://www.progress.org/wiki/air-rights/,1,4,412,true,false,2026-07-11
akcigit-ates-business-dynamism,Ten Facts on Declining Business Dynamism and Lessons from Endogenous Growth,research,https://www.progress.org/wiki/akcigit-ates-business-dynamism/,2,9,2282,false,false,2026-07-04
akcigit-taxation-innovation,"'Akcigit, Grigsby, Nicholas & Stantcheva (2022): Taxation and Innovation in",research,https://www.progress.org/wiki/akcigit-taxation-innovation/,1,6,450,false,false,2026-07-06
akhil-patel,Akhil Patel,people,https://www.progress.org/wiki/akhil-patel/,15,9,256,false,false,
alan-greenspan,Alan Greenspan,people,https://www.progress.org/wiki/alan-greenspan/,1,5,472,true,false,2026-07-12
alanna-hartzok,Alanna Hartzok,people,https://www.progress.org/wiki/alanna-hartzok/,5,7,459,false,false,2026-07-11
alaska,Alaska,places,https://www.progress.org/wiki/alaska/,7,8,1479,false,false,2026-07-10
alaska-permanent-fund,Establishment of the Alaska Permanent Fund,events,https://www.progress.org/wiki/alaska-permanent-fund/,28,7,312,false,false,
albouy-ehrlich-shin-metro-land,Metropolitan Land Values,research,https://www.progress.org/wiki/albouy-ehrlich-shin-metro-land/,16,8,1903,false,false,2026-07-12
albouy-what-are-cities-worth,"What Are Cities Worth? Land Rents, Local Productivity, and the Total Value",research,https://www.progress.org/wiki/albouy-what-are-cities-worth/,7,7,2518,false,false,2026-07-03
alfred-marshall,Alfred Marshall,people,https://www.progress.org/wiki/alfred-marshall/,8,8,341,true,false,2026-07-06
alfred-russel-wallace,Alfred Russel Wallace,people,https://www.progress.org/wiki/alfred-russel-wallace/,4,8,511,false,false,2026-07-11
allowance-for-corporate-equity,Allowance for Corporate Equity (ACE),concepts,https://www.progress.org/wiki/allowance-for-corporate-equity/,21,16,1588,false,false,2026-07-10
almy-oecd-valuation-assessment,"Valuation and Assessment of Immovable Property (Almy, OECD)",research,https://www.progress.org/wiki/almy-oecd-valuation-assessment/,9,7,871,false,false,2026-07-10
alvin-johnson,Alvin Saunders Johnson,people,https://www.progress.org/wiki/alvin-johnson/,1,8,575,true,false,2026-07-10
andelson-critics-of-henry-george,"Andelson (ed.), Critics of Henry George (1979)",research,https://www.progress.org/wiki/andelson-critics-of-henry-george/,1,7,332,true,false,2026-07-11
andelson-lvt-around-the-world,Land Value Taxation Around the World,research,https://www.progress.org/wiki/andelson-lvt-around-the-world/,12,9,213,false,false,2026-07-12
andelson-rejoinder-to-hayek,Andelson (2000): A Georgist Rejoinder to F.A. Hayek,research,https://www.progress.org/wiki/andelson-rejoinder-to-hayek/,2,4,463,true,false,2026-07-12
anderson-secret-life-real-estate,The Secret Life of Real Estate and Banking,books,https://www.progress.org/wiki/anderson-secret-life-real-estate/,29,15,1170,false,false,2026-07-05
anderson-your-citizens-dividend,Your Citizen's Dividend (Anderson eBook),books,https://www.progress.org/wiki/anderson-your-citizens-dividend/,2,14,984,false,false,2026-07-12
andersson-sweden-carbon-tax,'Carbon Taxes and CO2 Emissions: Sweden as a Case Study (Andersson)',research,https://www.progress.org/wiki/andersson-sweden-carbon-tax/,7,5,808,false,false,2026-07-11
anne-robert-jacques-turgot,Anne Robert Jacques Turgot,people,https://www.progress.org/wiki/anne-robert-jacques-turgot/,1,4,475,true,false,2026-07-12
ansolabehere-money-in-politics,Why Is There So Little Money in U.S. Politics?,research,https://www.progress.org/wiki/ansolabehere-money-in-politics/,1,5,422,false,false,2026-07-10
arnold-harberger,Arnold Harberger,people,https://www.progress.org/wiki/arnold-harberger/,1,5,406,true,false,2026-07-11
arnold-tax-growth-ej,Tax Policy for Economic Recovery and Growth,research,https://www.progress.org/wiki/arnold-tax-growth-ej/,5,10,2262,false,false,2026-07-10
arnott-hgt-practical-guide,Does the Henry George Theorem Provide a Practical Guide to Optimal City Size?,research,https://www.progress.org/wiki/arnott-hgt-practical-guide/,7,9,2120,false,false,2026-07-04
arnott-stiglitz-henry-george-theorem,"Aggregate Land Rents, Expenditure on Public Goods, and Optimal City Size",research,https://www.progress.org/wiki/arnott-stiglitz-henry-george-theorem/,22,2,247,false,false,
arrieta-ibarra-data-as-labor,Should We Treat Data as Labor? Moving Beyond 'Free',research,https://www.progress.org/wiki/arrieta-ibarra-data-as-labor/,2,6,418,true,false,2026-07-11
arthur-cecil-pigou,Arthur Cecil Pigou,people,https://www.progress.org/wiki/arthur-cecil-pigou/,1,6,326,true,false,2026-07-12
asian-financial-crisis-1997,Asian Financial Crisis (1997),events,https://www.progress.org/wiki/asian-financial-crisis-1997/,1,6,714,true,false,2026-07-12
asset-stripping,Asset Stripping and Hidden Corporate Land Value,concepts,https://www.progress.org/wiki/asset-stripping/,1,7,550,true,false,2026-07-11
atcor,ATCOR,concepts,https://www.progress.org/wiki/atcor/,45,15,1265,false,false,2026-07-12
australia,Australia,places,https://www.progress.org/wiki/australia/,2,6,912,false,false,2026-07-12
austrian-school,Austrian School,organizations,https://www.progress.org/wiki/austrian-school/,1,5,406,true,false,2026-07-11
autor-superstar-firms,The Fall of the Labor Share and the Rise of Superstar Firms,research,https://www.progress.org/wiki/autor-superstar-firms/,18,6,1850,false,false,2026-07-03
azar-schmalz-tecu-common-ownership,"'Azar, Schmalz & Tecu (2018): Anticompetitive Effects of Common Ownership'",research,https://www.progress.org/wiki/azar-schmalz-tecu-common-ownership/,3,5,650,true,false,2026-07-11
bakker-land-rents-tfp,Unveiling the Hidden Impact of Urban Land Rents on Total Factor Productivity,research,https://www.progress.org/wiki/bakker-land-rents-tfp/,12,2,239,false,false,
bank-money-creation,Bank Money Creation,concepts,https://www.progress.org/wiki/bank-money-creation/,2,7,591,true,false,2026-07-11
banzhaf-lavery-pa-sprawl,Can the Land Tax Help Curb Urban Sprawl? Evidence from Growth Patterns in Pennsylvania,research,https://www.progress.org/wiki/banzhaf-lavery-pa-sprawl/,13,8,2174,false,false,2026-07-12
barkai-declining-shares,Declining Labor and Capital Shares,research,https://www.progress.org/wiki/barkai-declining-shares/,10,7,2506,false,false,2026-07-04
barker-henry-george-biography,Henry George,books,https://www.progress.org/wiki/barker-henry-george-biography/,5,7,1557,false,false,2026-07-07
barker-review-housing-supply,The Barker Review of Housing Supply (2003–04),research,https://www.progress.org/wiki/barker-review-housing-supply/,5,3,370,true,false,2026-07-12
barnes-sky-trust,Who Owns the Sky? Peter Barnes's Sky Trust and Cap-and-Dividend,research,https://www.progress.org/wiki/barnes-sky-trust/,5,5,2435,false,false,2026-07-12
barr-smith-kulkarni-manhattan-land,"What's Manhattan Worth? A Land Values Index (Barr, Smith & Kulkarni)",research,https://www.progress.org/wiki/barr-smith-kulkarni-manhattan-land/,6,8,785,false,false,2026-07-11
baumol-unproductive-entrepreneurship,"'Entrepreneurship: Productive, Unproductive, and Destructive'",research,https://www.progress.org/wiki/baumol-unproductive-entrepreneurship/,4,6,545,false,false,2026-07-10
bayer-aklin-eu-ets,The EU ETS Reduced CO2 Emissions Despite Low Prices (Bayer & Aklin),research,https://www.progress.org/wiki/bayer-aklin-eu-ets/,7,6,815,false,false,2026-07-11
bazot-cost-of-finance-europe,'Bazot (2018): Financial Consumption and the Cost of Finance in Europe',research,https://www.progress.org/wiki/bazot-cost-of-finance-europe/,5,7,703,false,false,
behrens-hgt-second-best,The Henry George Theorem in a Second-Best World,research,https://www.progress.org/wiki/behrens-hgt-second-best/,7,2,169,false,false,
bencure-ilvm-baybay-philippines,"'iLVM: Mass Appraisal in BayBay City, Philippines (Bencure et al.)'",research,https://www.progress.org/wiki/bencure-ilvm-baybay-philippines/,4,5,727,false,false,2026-07-11
benefits,The Benefits: what geoist policy measurably delivers,concepts,https://www.progress.org/wiki/benefits/,5,20,592,false,false,
bentick-mills-timing-neutrality,The Bentick–Mills Timing Critique (and the Tideman Rebuttal),research,https://www.progress.org/wiki/bentick-mills-timing-neutrality/,8,7,632,false,false,2026-07-05
bergeron-tourek-weigel-drc-property-tax,"The State Capacity Ceiling on Tax Rates: Randomized Property-Tax Abatements in the DRC (Bergeron, Tourek & Weigel, 2024)",research,https://www.progress.org/wiki/bergeron-tourek-weigel-drc-property-tax/,4,5,608,false,false,2026-07-12
berman-alaska-indigenous-poverty,"'Berman (2018): Resource Rents, Universal Basic Income, and Poverty Among Alaska''s",research,https://www.progress.org/wiki/berman-alaska-indigenous-poverty/,2,4,591,false,false,2026-07-13
